Streets,Doja Cat,"""Streets"" by Doja Cat:
    [Intro]
    I've been goin' through some things (Oh)
    I struggle with my inner man (Yeah, yeah)
    I hustle,..."
Think About Me,dvsn,"""Think About Me"" by ​dvsn:
    [Verse 1]
    Don't think that we
    Could ever be friends again
    'Cause our history
    Seems like it never end..."
Take (feat. Ty Dolla $ign),Arin Ray,"""Take"" by Arin Ray:
    [Chorus: Arin Ray]
    Just wanna take you home
    Girl, you know I don't wanna say no more
    It's the truth,..."
Die For You,The Weeknd,"""Die for You"" by The Weeknd:
    [Verse 1]
    I'm findin' ways to articulate the feeling I'm goin' through
    I just can't say I don't love..."
Thinkin Bout You,Frank Ocean,"""Thinkin Bout You"" by Frank Ocean:
    [Verse 1]
    A tornado flew around my room before you came
    Excuse the mess it made, it usually doesn't ..."
Poison,Rod Wave,"""Poison"" by Rod Wave:
    [Intro]
    Ayy, ayy, ayy, ayy, ayy, that's probably Tago
    I'm tryna fuck with lil' what's her name, but ..."
Could've Been (feat. Bryson Tiller),H.E.R.,"""Could’ve Been"" by H.E.R.:
    [Intro: H.E.R.]
    Please, allow me to show you something
    Mmm, somebody give me, yeah
    
    [Verse 1: H.E.R...."
I Fall Apart,Post Malone,"""I Fall Apart"" by Post Malone:
    [Intro]
    Ooh, I fall apart
    Ooh, yeah, mmm, yeah
    
    [Verse 1]
    She told me that I'm not enough (Yeah)
    And..."
Don't,Bryson Tiller,"""Don’t"" by Bryson Tiller:
    [Verse 1]
    Don't, don't play with her, don't be dishonest (Ayy)
    Still not understandin' this logic (A..."
Doing It Wrong,Drake,"""Doing It Wrong"" by Drake:
    [Verse 1]
    When a good thing goes bad it's not the end of the world
    It's just the end of a world that..."
Best Part (feat. H.E.R.),Daniel Caesar,"""H.E.R. & Daniel Caesar - Best Part (Traducción al Español)"" by Genius Traducciones al Español:
    [Letra de ""H.E.R. & Daniel Caesar - Best Part (Traducción al Español)""]
    
    [Intro: H.E.R.]
    Oh, ey
    
    [Ve..."
Pretty Little Fears (feat. J. Cole),6LACK,"""Pretty Little Fears"" by 6LACK:
    [Verse 1: 6LACK]
    Do better, who better? You better?
    Been around, like hella propellers
    Wanna know wh..."
Easily,Bruno Major,"""Easily"" by Bruno Major:
    [Chorus]
    Don't you tell me that it wasn't meant to be
    Call it quits, call it destiny
    Just because it..."
Lonely (with Jonas Brothers),Diplo,"""New Music Friday 09/27/19"" by Spotify:
    DaBaby - BOP
    French Montana - Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)
    Diplo - Lon..."
Beautiful People (feat. Khalid),Ed Sheeran,"""Ed Sheeran ft. Khalid - Beautiful People (ترجمه ی فارسی)"" by Genius Farsi Translations (ترجمه‌ی فارسی):
    [Intro: Ed Sheeran]
    We are, we are, we are
    ما هستیم، هستیم، هستیم ...
    [Verse 1: Ed Sheeran]
    L.A. on ..."
"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",JD McCrary,
"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",Donny Osmond,
I Just Can't Wait to Be King,JD McCrary,"""I Just Can’t Wait to Be King"" by JD McCrary, Shahadi Wright Joseph & John Oliver:
    [Verse 1: JD McCrary & John Oliver]
    I'm gonna be a mighty king
    So enemies beware
    Well I've never see..."
"Touch The Sky - From ""Brave""/Soundtrack",Julie Fowlis,
I Can't Let You Throw Yourself Away,Randy Newman,"""I Can’t Let You Throw Yourself Away"" by Randy Newman:
    [Chorus]
    I can't let you, I can't let you
    I can't let you throw yourself away
    I can't let you (I can..."
"Strangers Like Me - From ""Tarzan""/Soundtrack Version",Phil Collins,
"Step In Time - From ""Mary Poppins""/Soundtrack Version",Dick Van Dyke,
Here Comes Elastigirl - Elastigirl's Theme,Michael Giacchino,
"A Girl Worth Fighting For - From ""Mulan""/Soundtrack",Lea Salonga,
Intentions (feat. Quavo),Justin Bieber,"""Intentions"" by Justin bieber and quavo:
    He's perfect, perfect he dont need no filter
    Flawless never had to sin to be a leader
    Showers us wit..."
Up All Night,Khalid,"""Up All Night"" by Khalid:
    [Verse 1]
    Take me 'round the world and back again
    As I'm searching for my soul out there
    Oh, there's..."
Tattoos Together,Lauv,"""Tattoos Together"" by Lauv:
    [Verse 1]
    Said I'd never fall, I'd never fall, I'd never fall
    But then I fell for you, mmm
    Back agai..."
Unbelievable,Why Don't We,"""Unbelievable"" by Why Don’t We:
    [Verse 1: Daniel Seavey & Corbyn Besson]
    Hey, how did we, how did we
    How did we end up at your place..."
Ready,Alessia Cara,"""Ready"" by Alessia Cara:
    [Verse 1: Alessia Cara]
    I think it's safe to say that you will always change
    New colours day-to-day;..."
"10,000 Hours (with Justin Bieber)",Dan + Shay,"""New Music Friday 10/04/19"" by Spotify:
    Travis Scott - HIGHEST IN THE ROOM
    Camila Cabello - Cry for Me
    Dan + Shay - 10,000 Hours (with Justi..."
Call You Mine,The Chainsmokers,"""Call You Mine"" by The Chainsmokers & Bebe Rexha:
    [Verse 1]
    Two kids with their hearts on fire
    Who's gonna save us now?
    When we thought that we couldn..."
Never Seen The Rain,Tones And I,"""Never Seen the Rain"" by Tones and I:
    [Verse 1]
    All your life now
    You couldn't be mad about it
    You've been sailing, sailing‚ ooh
    You could..."
Watermelon Sugar,Harry Styles,"""Watermelon Sugar"" by Harry Styles:
    [Verse 1]
    Tastes like strawberries on a summer evenin'
    And it sounds just like a song
    I want more be..."
What A Man Gotta Do,Jonas Brothers,"""What a Man Gotta Do"" by Jonas Brothers:
    [Verse 1: Nick Jonas]
    Cut my heart about one, two times
    Don't need to question the reason I'm yours,..."
Nobody,Martin Jensen,"""Nobody"" by Martin Jensen & James Arthur:
    [Verse 1: James Arthur]
    Dressed up all night, there's no one to impress
    Standing in lines till I sme..."
Nice To Meet Ya,Niall Horan,"""Nice to Meet Ya"" by Niall Horan:
    [Verse 1]
    I like the way you talk, I like the things you wear
    I want your number tattooed on my arm ..."
Midnight (feat. Liam Payne),Alesso,"""Alesso - Midnight (ft. Liam Payne)"" by Genius Türkçe Çeviri:
    [Verse 1]
    Hep yarışı kaybettiğimi düşünürdüm
    Aşkı hep yanlış yerlerde arardım
    Gerçekten buralara nas..."
Post Malone (feat. RANI),Sam Feldt,"""Post Malone"" by Sam Feldt:
    [Verse 1]
    One more drink, got one more Bacardi
    One more dance at this afterparty
    We still going, goi..."
Be Kind (with Halsey),Marshmello,"""New Music Friday 05/01/20"" by Spotify:
    Drake - Pain 1993 (with Playboi Carti)
    Marshmello - Be Kind (with Halsey)
    Megan Thee Stallion - Sava..."
Circles,Post Malone,"""Circles"" by Post Malone:
    [Intro]
    Oh, oh, oh
    Oh,  oh, oh
    Oh,  oh, oh, oh, oh
    
    [Verse 1]
    We couldn't turn around 'til we were u..."
Black And White,Niall Horan,"""Black and White"" by Niall Horan:
    [Verse 1]
    That first night, we were standin' at your door
    Fumblin' for your keys, then I kissed you
    ..."
I Love You's,Hailee Steinfeld,"""I Love You’s"" by Hailee Steinfeld:
    [Intro]
    Doo-bee-doo-bee-doo-doo-doo, ah
    Doo-bee-doo-bee-doo-doo-doo, ah
    Doo-bee-doo-bee
    
    [Verse 1]
    W..."
Know Your Worth,Khalid,"""Know Your Worth"" by Khalid & Disclosure:
    [Verse 1]
    He keeps leaving you for dead
    I don't know what you been waiting for
    So you've got your lo..."
Lights Up,Harry Styles,"""Lights Up"" by Harry Styles:
    [Verse 1]
    What do you mean?
    I'm sorry by the way
    Never coming back down
    Can't you see?
    I could, but ..."
Never Really Over,Katy Perry,"""Never Really Over"" by Katy Perry:
    [Verse 1]
    I'm losing my self control
    Yeah, you’re starting to trickle back in
    But I don't wanna fall..."
Graveyard,Halsey,"""Graveyard"" by Halsey:
    [Verse 1]
    It's crazy when
    The thing you love the most is the detriment
    Let that sink in
    You can thin..."
