Level Of Concern,twenty one pilots,"""Level of Concern"" by ​twenty one pilots:
    [Intro]
    Need you, tell me
    Need you, tell me
    
    [Verse 1]
    Panic on the brain, world has gone insane
    Thi..."
Party Girl,StaySolidRocky,"""Party Girl"" by StaySolidRocky:
    [Intro]
    Girls just wanna have fun
    So they party, so they party
    (Ayy, yo, Nashi, you goin' crazy)
    
    [C..."
Righteous,Juice WRLD,"""Righteous"" by Juice WRLD:
    [Intro]
    I will (Will)
    I will (I will)
    I will
    Oh-ooh (Oh-ooh)
    Uh (Uh)
    
    [Chorus]
    All white Gucci suit,..."
Can I,Kehlani Featuring Tory Lanez,"""Can I"" by Kehlani:
    [Verse 1: Kehlani]
    This shit's so good, should be illegal
    Need round two, I need a sequel
    Hit the ba..."
Pain 1993,Drake Featuring Playboi Carti,"""Drake - Pain 1993 ft. Playboi Carti (Русский перевод)"" by Genius Russian Translations:
    [Перевод песни Drake - Pain 1993 ft. Playboi Carti]
    
    [Интро: Drake]
    (Yo, Pi'erre, yo, Pi’erre)
    Эй
    
    [..."
Walk Em Down,NLE Choppa Featuring Roddy Ricch,"""Walk Em Down"" by NLE Choppa:
    [Intro: NLE Choppa]
    (CashMoneyAP)
    Ooh, ooh, no, no
    NLE the Top Shotta
    
    [Chorus: NLE Choppa]
    Uh, post..."
Dior,Pop Smoke,"""Dior"" by Pop Smoke:
    [Intro]
    Traphouse Mob
    Huh,  roll another one
    Said  I'm never lackin', always pistol packing
    With the..."
In Your Eyes,The Weeknd,"""In Your Eyes"" by The Weeknd:
    [Verse 1]
    I just pretend that I'm in the dark
    I don't regret 'cause my heart can't take a loss
    I'd r..."
We Paid,Lil Baby & 42 Dugg,"""We Paid"" by Lil Baby & 42 Dugg:
    [Intro: 42 Dugg]
    Can't be fucked with
    Ayy, 4 Pockets, huh
    (Section 8 just straight cooked this mothe..."
Emotionally Scarred,Lil Baby,"""Emotionally Scarred"" by Lil Baby:
    [Verse 1]
    A love letter came through the mail, it said, ""I miss you""
    I ripped it up and flushed with..."
Bluebird,Miranda Lambert,"""Bluebird"" by Miranda Lambert:
    [Intro]
    Ooh
    Ooh 
    
    [Verse 1]
    Yeah,  I'm a turner
    I turn pages all the time
    Don't like where I'm at
    34..."
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,
Here And Now,Kenny Chesney,"""Here and Now"" by Kenny Chesney:
    [Verse 1]
    Seen the skyline of New York City
    Fireflies in Tennessee
    Sipped a little shine from a pape..."
Turks,"NAV, Gunna & Travis Scott","""Turks"" by NAV & Gunna:
    [Intro: Future]
    (Wheezy outta here)
    
    [Verse 1: NAV]
    I'm a late bloomer, third year on the scene
    Twen..."
If The World Was Ending,JP Saxe Featuring Julia Michaels,"""If The World Was Ending"" by JP Saxe, Julia Michaels & Friends:
    [Verse 1]
    
    [H.E.R., Niall Horan & Keith Urban]
    I was distracted and in traffic
    I didn't feel it when..."
Ride It.,Regard,"""Ride It"" by Regard:
    [Chorus]
    Ride it, we're all alone
    Ride  it, just lose control
    Ride  it, ride it, come touch my soul
    ..."
After Party,Don Toliver,"""After Party"" by Don Toliver:
    [Chorus]
    Okay, I pull up, hop out at the after party
    You and all your friends, yeah, they love to ge..."
Yo Perreo Sola,Bad Bunny,"""Yo Perreo Sola"" by Bad Bunny:
    [Letra de ""Yo Perreo Sola"" ft. Nesi]
    
    [Refrán: Nesi]
    Ante' tú me pichaba' (Tú me pichaba')
    Ahora yo ..."
Zoo York,Lil Tjay Featuring Fivio Foreign & Pop Smoke,"""Zoo York"" by Lil Tjay:
    [Intro: Fivio Foreign, Pop Smoke & Lil Tjay]
    Grr, ayy (Uh?)
    Nah (Oh, oh)
    Baow, baow, baow, baow (Woo..."
P*$$y Fairy (OTW),Jhene Aiko,"""New Music Friday 1/24/20"" by Spotify:
    Megan Thee Stallion - B.I.T.C.H.
    Ali Gatie - What If I Told You That I Love You
    Hayley Williams - Si..."
Out West,JACKBOYS Featuring Young Thug,"""JACKBOYS - OUT WEST (ft. Young Thug) (Traduction Française)"" by Genius Traductions Françaises:
    [Intro : Young Thug]
    Ouais
    Buddah bénisse cette instru
    Ayy
    
    [Refrain : Young Thug]
    Baiser à l'ouest ..."
Toxic,Kehlani,"""Toxic"" by Kehlani:
    [Verse 1: Kehlani]
    Damn right, we take turns bein' grown
    I get real accountable when I'm alone
    I get..."
One Margarita,Luke Bryan,"""One Margarita"" by Luke Bryan:
    [Verse 1]
    Everybody here ain't from here
    But we're here doin' our thing
    Lettin' go a little, little ..."
Believe It,PARTYNEXTDOOR & Rihanna,"""BELIEVE IT"" by PARTYNEXTDOOR & Rihanna:
    [Intro: Wale]
    (Ayy Biz, good lookin', foo)
    
    [Chorus: Rihanna & PARTYNEXTDOOR]
    Hey
    Best make me belie..."
I'm Ready,Sam Smith & Demi Lovato,"""I’m Ready"" by Sam Smith & Demi Lovato:
    [Verse 1: Sam Smith]
    It's a cold night in my bed in the heat of the summer
    I've been waitin' patient..."
In Between,Scotty McCreery,"""In Between"" by Scotty McCreery:
    [Verse 1]
    I'm a little bit a ball cap
    Little bit a pearl snap button down shirt
    Little bit a big cit..."
More Hearts Than Mine,Ingrid Andress,"""More Hearts Than Mine"" by Ingrid Andress:
    [Verse 1]
    I can't wait to show you where I grew up
    Walk you 'round the foothills of my town
    Probably..."
I Love My Country,Florida Georgia Line,"""I Love My Country"" by Florida Georgia Line:
    [Intro]
    Yeah, baby
    
    [Verse 1]
    Out here, ain't nothin' but woods and water
    Drop a beer from a stand, ..."
I Love Me,Demi Lovato,"""I Love Me"" by Demi Lovato:
    [Verse 1]
    Flippin' through all of these magazines
    Tellin' me who I'm supposed to be
    Way too good at ..."
Go Crazy,Chris Brown & Young Thug,"""Go Crazy"" by Chris Brown & Young Thug:
    [Intro: Chris Brown]
    Oh, yeah
    (Oh, is that Kaniel again?)
    Oh
    (Ayy, bring it, bring it back, bring it..."
D4L,"Future, Drake & Young Thug","""D4L"" by Future, Drake & Young Thug:
    [Intro: Young Thug]
    (808 my crew)
    (Ayy, Southside, where you get all that drip?)
    Yeah, yeah
    Yeah
    
    [C..."
Godzilla,Eminem Featuring Juice WRLD,"""Russian cover  - Godzilla (Eminem feat. Juice WRLD)"" by Mc.Dicon:
    Ох, да ты просто монстр
    
    [Куплет 1: Dicon]
    Я могу выпить бутылку. Алкоголь - и я, словно Гадзилла
    По..."
All In,Lil Baby,"""All In"" by Lil Baby:
    [Intro]
    (Cook that shit up, Quay)
    
    [Verse 1]
    My mama been told me don't give no poor performance
    And..."
Change Your Life,Kehlani Featuring Jhene Aiko,"""Change Your Life"" by Kehlani:
    [Verse 1: Kehlani]
    I heard that you a gang-gang-gangsta
    Not one to try to sa-sa-save her
    Always focu..."
God Whispered Your Name,Keith Urban,"""God Whispered Your Name"" by Keith Urban:
    [Verse 1]
    I was so cold and lost
    And nothing seemed to ring true
    I couldn't bear the cross
    For every..."
Die From A Broken Heart,Maddie & Tae,"""Die From a Broken Heart"" by Maddie & Tae:
    [Verse 1: Maddie, Both]
    Hey mama, how do you get a red wine stain
    Out of your favorite dress?
    Black ..."
Catch,Brett Young,"""Catch"" by Brett Young:
    [Verse 1]
    I wasn't tryna feel like this
    I wasn't tryna feel nothin' at all
    I just came to meet my fr..."
Don't Rush,Young T & Bugsey Featuring Headie One,"""Don’t Rush"" by Young T & Bugsey:
    [Chorus: Bugsey]
    Don't rush, slow touch
    Brown and white, like I go cunch
    Grab and buy, make 'em go b..."
Desires,Drake Featuring Future,"""Desires"" by Drake:
    [Intro: Drake]
    D. Hill (D. Hill)
    Ayy
    
    [Chorus: Drake]
    I should've put you somewhere where no one cou..."
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban","""Be a Light"" by Thomas Rhett:
    [Verse 1: Thomas Rhett]
    In a time full of war, be peace
    In a time full of doubt, just believe
    Yeah, ..."
Jump,DaBaby Featuring YoungBoy Never Broke Again,"""DaBaby - JUMP ft. YoungBoy Never Broke Again (Traducción al Español)"" by Genius Traducciones al Español:
    [Letra de ""DaBaby - JUMP ft. YoungBoy Never Broke Again (Traducción al Español)""]
    
    [Intro: DaBaby]
    (..."
Me Vs Me,Moneybagg Yo,"""Me Vs Me"" by Moneybagg Yo:
    [Intro]
    Turn me up YC (Turn me up YC, turn me up YC), go
    
    [Chorus]
    I ain't ever ran from a nigga (No..."
Drinking Alone,Carrie Underwood,"""Drinking Alone"" by Carrie Underwood:
    [Intro]
    (Ooh, ooh, ooh, ooh, ooh, ooh)
    (Ooh, ooh, ooh, ooh, ooh, ooh)
    
    [Verse 1]
    Let me make one thi..."
Six Feet Apart,Luke Combs,"""Six Feet Apart"" by Luke Combs:
    [Verse 1]
    When the dogwoods start to bloom
    And the crickets hum their tune
    That's usually about the ..."
Viral Moment,Lil Durk,"""Viral Moment"" by Lil Durk:
    [Intro]
    (TouchofTrent be wildin' with it)
    
    [Verse 1]
    I pour an eight inside the Lam' truck, fell asl..."
Sigues Con El,Arcangel x Sech,"""Sencillos del Mes de Diciembre 2019"" by Genius en Español:
    * = letra incompleta.
    [F] = Canción filtrada
    02/12El Cherry Scom & Kiko El Crazy – Bajé Con Trenzas ..."
Homemade,Jake Owen,"""Homemade"" by Jake Owen:
    [Verse 1]
    Where I grew up, gettin' dressed up means
    Buttoned down shirt and a good pair of jeans
    Was..."
Time Flies,Drake,"""Time Flies"" by Drake:
    [Chorus]
    Yeah, I'm outside in an AMG
    Right outside, TT
    Too turnt, baby girl, you know me, yeah
    Still..."
Grace,Lil Baby & 42 Dugg,"""Grace"" by Lil Baby & 42 Dugg:
    [Verse 1: 42 Dugg]
    Got a lotta new flames, still need them blue
    Three hundred fifty thou', times tha..."
Slow Dance In A Parking Lot,Jordan Davis,"""Slow Dance in a Parking Lot"" by Jordan Davis:
    [Verse 1]
    Lights go down, wheels go 'round
    I'm taking you home
    Hoping for a slow song to come on the..."
You Should Be Sad,Halsey,"""You should be sad"" by Halsey:
    [Verse 1]
    I wanna start this out and say
    I gotta get it off my chest (My chest)
    Got no anger, got no..."
That Way,Lil Uzi Vert,"""That Way"" by Lil Uzi Vert:
    [Intro]
    I want it that way
    I want it that way
    I want it that way
    I want it that way
    
    [Pre-Chorus]
    Bu..."
Demons,Drake Featuring Fivio Foreign & Sosa Geek,"""Demons"" by Drake:
    [Intro: Drake & Fivio Foreign]
    Like what?
    (Who made this?) Yeah, yeah
    (JB made this, hahahaha)
    Six, ..."
July,Noah Cyrus & Leon Bridges,"""July"" by Noah Cyrus & Leon Bridges:
    [Verse 1: Noah Cyrus]
    I've been holding my breath
    I've been counting to 10
    Over something you said
    I..."
