"","song","artist","vibe","rating"
"274","Go Crazy","Chris Brown & Young Thug","Slightly Sad","negative"
"275","D4L","Future, Drake & Young Thug","Simp","mixed"
"276","All In","Lil Baby","Simp","negative"
"277","Change Your Life","Kehlani Featuring Jhene Aiko","Decent","positive"
"278","Die From A Broken Heart","Maddie & Tae","Rainy Day","mixed"
"279","Catch","Brett Young","Happy","positive"
"280","Don't Rush","Young T & Bugsey Featuring Headie One","Sad","mixed"
"281","Desires","Drake Featuring Future","Depressing","mixed"
"282","Be A Light","Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban","Simp","negative"
"283","Me Vs Me","Moneybagg Yo","Rainy Day","negative"
"284","Drinking Alone","Carrie Underwood","Slightly Sad","negative"
"285","Viral Moment","Lil Durk","Cheerful","mixed"
"286","Homemade","Jake Owen","Happy","positive"
"287","Time Flies","Drake","Rainy Day","mixed"
"288","Grace","Lil Baby & 42 Dugg","Depressing","mixed"
"289","Slow Dance In A Parking Lot","Jordan Davis","Rainy Day","negative"
"290","You Should Be Sad","Halsey","Sad","negative"
"291","That Way","Lil Uzi Vert","Rainy Day","mixed"
"292","Demons","Drake Featuring Fivio Foreign & Sosa Geek","Simp","negative"
"293","July","Noah Cyrus & Leon Bridges","NULL","negative"
